2023-11-01 05:11:55 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:55 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 05:11:55 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:55 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:55 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2023-11-01 05:11:55 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:55 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2023-11-01 05:11:56 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2023-11-01 05:11:56 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:56 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:56 install libnghttp2-14:amd64 <none> 1.52.0-1
2023-11-01 05:11:56 status half-installed libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:56 status unpacked libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:56 install libpsl5:amd64 <none> 0.21.2-1
2023-11-01 05:11:56 status half-installed libpsl5:amd64 0.21.2-1
2023-11-01 05:11:56 status unpacked libpsl5:amd64 0.21.2-1
2023-11-01 05:11:56 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:56 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:56 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:56 install libssh2-1:amd64 <none> 1.10.0-3+b1
2023-11-01 05:11:56 status half-installed libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:56 status unpacked libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:56 install libcurl3-gnutls:amd64 <none> 7.88.1-10+deb12u4
2023-11-01 05:11:56 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:56 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:56 install libreadline8:amd64 <none> 8.2-1.3
2023-11-01 05:11:56 status half-installed libreadline8:amd64 8.2-1.3
2023-11-01 05:11:56 status unpacked libreadline8:amd64 8.2-1.3
2023-11-01 05:11:56 install gnupg1:amd64 <none> 1.4.23-1.1+b1
2023-11-01 05:11:56 status half-installed gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:56 status unpacked gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:56 startup packages configure
2023-11-01 05:11:56 configure libkeyutils1:amd64 1.6.3-2 <none>
2023-11-01 05:11:56 status unpacked libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:56 status half-configured libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:56 status installed libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:56 configure libpsl5:amd64 0.21.2-1 <none>
2023-11-01 05:11:56 status unpacked libpsl5:amd64 0.21.2-1
2023-11-01 05:11:56 status half-configured libpsl5:amd64 0.21.2-1
2023-11-01 05:11:56 status installed libpsl5:amd64 0.21.2-1
2023-11-01 05:11:56 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2023-11-01 05:11:56 status unpacked libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:56 status half-configured libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:56 status installed libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:56 configure libssl3:amd64 3.0.11-1~deb12u2 <none>
2023-11-01 05:11:56 status unpacked libssl3:amd64 3.0.11-1~deb12u2
2023-11-01 05:11:56 status half-configured libssl3:amd64 3.0.11-1~deb12u2
2023-11-01 05:11:56 status installed libssl3:amd64 3.0.11-1~deb12u2
2023-11-01 05:11:56 configure libnghttp2-14:amd64 1.52.0-1 <none>
2023-11-01 05:11:56 status unpacked libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:56 status half-configured libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:56 status installed libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:56 configure libkrb5support0:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:56 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 status installed libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2023-11-01 05:11:56 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2023-11-01 05:11:56 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:56 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:56 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:56 configure libk5crypto3:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:56 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 status installed libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2023-11-01 05:11:56 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:56 configure libssh2-1:amd64 1.10.0-3+b1 <none>
2023-11-01 05:11:56 status unpacked libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:56 status half-configured libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:56 status installed libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:56 configure libkrb5-3:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:56 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 status installed libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:56 configure openssl:amd64 3.0.11-1~deb12u2 <none>
2023-11-01 05:11:56 status unpacked openssl:amd64 3.0.11-1~deb12u2
2023-11-01 05:11:56 status half-configured openssl:amd64 3.0.11-1~deb12u2
2023-11-01 05:11:56 status installed openssl:amd64 3.0.11-1~deb12u2
2023-11-01 05:11:56 configure readline-common:all 8.2-1.3 <none>
2023-11-01 05:11:56 status unpacked readline-common:all 8.2-1.3
2023-11-01 05:11:56 status half-configured readline-common:all 8.2-1.3
2023-11-01 05:11:56 status installed readline-common:all 8.2-1.3
2023-11-01 05:11:56 configure libreadline8:amd64 8.2-1.3 <none>
2023-11-01 05:11:56 status unpacked libreadline8:amd64 8.2-1.3
2023-11-01 05:11:56 status half-configured libreadline8:amd64 8.2-1.3
2023-11-01 05:11:56 status installed libreadline8:amd64 8.2-1.3
2023-11-01 05:11:56 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2023-11-01 05:11:56 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:56 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:56 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:56 configure ca-certificates:all 20230311 <none>
2023-11-01 05:11:56 status unpacked ca-certificates:all 20230311
2023-11-01 05:11:56 status half-configured ca-certificates:all 20230311
2023-11-01 05:11:57 status installed ca-certificates:all 20230311
2023-11-01 05:11:57 status triggers-pending ca-certificates:all 20230311
2023-11-01 05:11:57 configure libgssapi-krb5-2:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:57 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:57 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:57 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:57 configure libcurl3-gnutls:amd64 7.88.1-10+deb12u4 <none>
2023-11-01 05:11:57 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:57 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:57 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:57 configure gnupg1:amd64 1.4.23-1.1+b1 <none>
2023-11-01 05:11:57 status unpacked gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:57 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:57 status installed gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:57 trigproc libc-bin:amd64 2.36-9+deb12u3 <none>
2023-11-01 05:11:57 status half-configured libc-bin:amd64 2.36-9+deb12u3
2023-11-01 05:11:57 status installed libc-bin:amd64 2.36-9+deb12u3
2023-11-01 05:11:57 trigproc ca-certificates:all 20230311 <none>
2023-11-01 05:11:57 status half-configured ca-certificates:all 20230311
2023-11-01 05:11:57 status installed ca-certificates:all 20230311
2023-11-01 05:11:59 startup packages remove
2023-11-01 05:11:59 status installed gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:59 remove gnupg1:amd64 1.4.23-1.1+b1 <none>
2023-11-01 05:11:59 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:59 status half-installed gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:59 status config-files gnupg1:amd64 1.4.23-1.1+b1
2023-11-01 05:11:59 status not-installed gnupg1:amd64 <none>
2023-11-01 05:11:59 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:59 remove libcurl3-gnutls:amd64 7.88.1-10+deb12u4 <none>
2023-11-01 05:11:59 status triggers-pending libc-bin:amd64 2.36-9+deb12u3
2023-11-01 05:11:59 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:59 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:59 status config-files libcurl3-gnutls:amd64 7.88.1-10+deb12u4
2023-11-01 05:11:59 status not-installed libcurl3-gnutls:amd64 <none>
2023-11-01 05:11:59 status installed libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:59 remove libbrotli1:amd64 1.0.9-2+b6 <none>
2023-11-01 05:11:59 status half-configured libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:59 status half-installed libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:59 status config-files libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:11:59 status not-installed libbrotli1:amd64 <none>
2023-11-01 05:11:59 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 remove libgssapi-krb5-2:amd64 1.20.1-2+deb12u1 <none>
